Metabolite,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3
657,0,3654.6582,11837.813,13624.662,435821.56,244840.2,290709.88,41440.273,4458.99,48571.926,0,0,0,23258.506,0,0,0,0,254899.69,703334.2,1758540.9,338793.44,227967.11,1044809.4,910300.44,2040581.4,1719427.5
634,0,8933.049,3870.4648,5142.615,42439.402,7738.021,35785.24,8178.223,7826.574,2330.5051,0,0,0,4007.4614,0,0,0,0,0,9295.299,0,0,0,8513.474,7571.258,0,0
156,4154.7944,19272.205,4208.666,1675.9597,1776.2855,763.5746,0,2061.1733,3340.0989,1384.8306,0,4481.27,2980.1143,0,0,0,3828.312,4105.939,3085.109,637888.8,19612.123,6477.5527,11262.034,1146469.4,775832.6,11611.097,21938.691
798,56004.28,3468011.8,5002387,2804918.5,27345906,16996766,25960278,3032742.5,3798522.5,1753562.8,5407.6235,37652.383,43796.41,1571408.4,90755.23,38052.07,8177.2837,74628.95,6759880.5,33457228,21071170,10463236,9166530,38787756,37082736,14956955,18556852
539,78930.55,212359.66,175054.77,222372.67,972163.6,577150.06,1146502.4,199765.33,212958.44,291505.16,24090.69,0,27038.389,90014.89,64261.8,46703.11,76705.055,86410.27,0,30968.46,31785.574,6952.981,0,57171.95,45426.49,10392.995,13853.814
797,2047.0134,335686.34,481677.78,269768.66,2672006.5,1634827.8,2504242.5,296495.44,369032.44,166552.45,0,0,0,148846.89,4798.8276,0,0,1130.2231,655408.8,3260423,2043739.1,1031103.1,887814.1,3764122.5,3600235.8,1434035,1786538.6
210,24816.088,271370.97,391334.62,328575.9,0,0,0,242223.08,174660.88,239223.38,131482.66,163963.94,162135.84,0,0,0,19397.78,10106.075,530026.25,0,196054.7,590747.94,636535.9,0,0,214855.11,189754
265,654.11316,0,0,0,228920.88,180489.52,60520.934,0,0,9076.421,0,121518.914,0,783018.8,771176.2,357541.2,0,0,0,5258.8765,0,0,0,66737.8,26650.672,596.55444,0
566,1223386.8,775253.7,730748.3,855878.06,12778.328,17147.973,23563.05,442553.28,427701.72,685662,771476.75,541915,967241.5,399.42902,0,0,1068187.4,1332609.6,305693.78,0,415370.8,179612.16,292469.78,0,0,473534.75,381884
382,0,0,0,0,80055.33,0,0,0,0,0,0,0,0,230491.58,43829.688,63417.844,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93394.87,0,328424.56,61531.973,84391.914,0,0,620649.06,347251.6
789,60042.066,2696707.2,2680968,1062950.9,1467374.4,228137.72,556412.3,2075392.1,2183362,1797374.1,42318.18,22891.037,131434.61,105167.836,55457.367,56426.25,74641.33,40261.09,35728.227,2363558.5,83002.96,31281.879,25019.576,3652902.8,1809489.2,46026.16,34884.145
729,514510.9,5097098,5433385.5,5828020.5,541081.44,270086.9,608907.2,3149093.8,2713109.8,2783014.2,365744.62,154579.78,670149.4,543216.3,601537.5,327796.44,383901.72,325306.88,235733.1,1089802.1,151363.56,219491.84,214117.16,1147939.2,843375.8,166548.7,148009.27
415,0,0,0,0,232099.77,90813.805,76327.44,0,0,0,0,0,0,71362.69,130076.02,97555.18,0,0,0,79771.19,0,0,0,665605.25,260335.36,0,0
187,926894.5,140004.53,167336.23,167046.86,171457.97,104164.63,179078.66,135810.02,141834.34,115487.06,308935.47,311199.53,379778.22,226650.83,287168.47,201303.5,447222.16,550530,182436.67,117368.87,304680.62,191876,239922.72,175864.34,152204.42,298099.22,298051.72
636,2338.8772,97700.24,64281.773,65798.79,431960.97,92856.55,351407,90334.1,88650.086,50739.75,0,0,6546.3057,50108.234,12681.133,12089.82,1865.8245,0,19371.002,102868.016,7861.1562,11164.661,16906.549,94463.89,82373.45,12769.407,9315.854
190,4597.1523,89093.484,88240.09,63076.504,1204956.6,441670.94,554885.25,18489.27,25824.336,16224.234,6304.3633,6459.7275,20855.764,454864,1990920.9,1069342.8,2807.1921,1024.42,13375.864,320021.5,712.91626,11453.617,2191.9407,1127269.1,890600.56,8321.674,0
239,0,7292.3584,16977.047,1446.9067,52546.035,35336.46,12821.582,0,822.36255,1175.3354,0,0,3440.972,172705.8,1392410.8,330380.4,0,0,2980.6714,3753.4795,957.75995,3403.4224,4179.4746,29910.088,19762.463,2748.066,1143.7062
312,1020451.75,534422.44,235793.8,238441.47,7095.6294,3530.6035,4771.667,211763.78,241583.69,125552.56,695981.3,498836.5,391791.9,0,471.35916,1294.5643,614577.94,713481.8,107275.77,0,268346.06,166224.67,131324.64,0,0,253887.08,265995.38
562,5662522.5,3442842,2923682.5,3588617.5,134159.78,134521.3,173389.5,2543391,3079262.5,2891284,2966082.8,2591612,3384525.5,10451.009,0,0,5321685.5,6089208,1203742.2,0,2614771,1209031.6,1620654.6,0,0,2277847.2,2477532.5
567,6117656.5,3020367.2,3088824.2,2653242.2,94606.5,81534.79,115809.3,2882702.5,2455551.8,2235406,2827109,2419184.8,2592492.8,10451.009,0,0,4251455.5,4513437,1417418.6,0,2534465,1549951.1,1067616.4,0,0,2676761,2336861.5
216,1505.7234,6632.3564,11444.385,6488.838,198656.97,220776.03,454072.72,24019.785,25084.527,19868.615,0,0,5252.526,116585.375,283927.6,475675.25,9199.345,2398.3416,0,184620.52,0,0,0,259291.7,240256.52,1076.8789,0
420,0,0,0,0,1052.5566,1344.7064,469.41193,0,0,0,0,0,0,438.8894,2703.0547,0,0,0,0,81338.34,0,0,0,1682504.9,437128.2,0,0
759,0,2554.9255,8542.733,0,360836.2,302321.25,449262.94,5830.7783,12472.871,1514.715,0,0,0,12893.6455,0,0,0,0,19850.059,348521.7,102516.28,27846.068,29914.393,443281.62,534474.06,117051.44,106753.14
281,8174723.5,1852025.9,1275966.5,1628243,896428.06,507909.66,831826.5,733005.3,748229.9,552819.3,3836137.8,2825984,4218267,7240019.5,8131140.5,6021076.5,10229296,6967214.5,814274.7,769668.2,1176916.2,899445.25,980361.9,1120789.9,1097151.9,1245644.2,1103874.4
